time,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6
0,1.570796326794897,-2.356194490192345,0,-1.570796326794897,0,0,-0,0,0,0,0,0
0.15,1.567900082817313,-2.353236176904888,0.002917871967106679,-1.567618829933896,0.003321623884506772,0.003279862275952413,-0.03861658636778537,0.03944417716609199,0.03890495956142239,0.04236662481334618,0.0442883184600903,0.04373149701269884
0.3,1.559211350884561,-2.344361237042517,0.01167148786842672,-1.558086339350893,0.01328649553802709,0.01311944910380965,-0.07723317273557075,0.07888835433218398,0.07780991912284478,0.08473324962669236,0.0885766369201806,0.08746299402539769
0.45,1.545695545655836,-2.330555775034385,0.02528822371492455,-1.543258020666222,0.02878740699905869,0.02842547305825424,-0.1029775636474277,0.105184472442912,0.1037465588304597,0.1129776661689232,0.1181021825602408,0.1166173253671969
0.6,1.530248911108722,-2.314778104167948,0.0408502075394935,-1.526311370740883,0.04650273438309482,0.04591807186333378,-0.1029775636474277,0.105184472442912,0.1037465588304597,0.1129776661689232,0.1181021825602408,0.1166173253671969
0.75,1.50535985147964,-2.289599587660618,0.06014883709187589,-1.500110703462243,0.06768423922177458,0.07259611473247264,-0.2288765647403345,0.2305290809881609,0.1535685018679721,0.2363645642129519,0.1643178819554894,0.2390899128879878
0.8999999999999999,1.442701091522686,-2.226817688589713,0.09439404955551196,-1.436893966770393,0.1027304538790289,0.1360159338578487,-0.6065735680190545,0.6065629066239071,0.3030343309805091,0.6065252583450376,0.3029649801412349,0.60650767545036
1.05,1.323387781073923,-2.107630715673445,0.1510591363860287,-1.318153125958731,0.1585737332641451,0.2545484173675808,-0.9842705712977751,0.9825967322596539,0.4525001600930464,0.9766859524771238,0.4416120783269805,0.9739254380127328
1.2,1.156862345215321,-1.94143951455271,0.2264074518556125,-1.153142198380558,0.2317478999224794,0.4190081211976092,-1.236068573483588,1.233285949350151,0.552144046168071,1.223459748565181,0.5340434771174775,1.218870613054314
1.35,0.9714520591927831,-1.756446622150188,0.3092290587808231,-0.9696232360957813,0.311854421490101,0.6018387131557562,-1.236068573483588,1.233285949350151,0.552144046168071,1.223459748565181,0.5340434771174775,1.218870613054314
1.5,0.7860417731702447,-1.571453729747665,0.3920506657060338,-0.786104273811004,0.3919609430577227,0.7846693051139035,-1.236068573483588,1.233285949350151,0.552144046168071,1.223459748565181,0.5340434771174775,1.218870613054314
1.65,0.6006314871477065,-1.386460837345142,0.4748722726312444,-0.602585311526227,0.4720674646253442,0.9674998970720505,-1.236068573483588,1.233285949350151,0.552144046168071,1.223459748565181,0.5340434771174775,1.218870613054314
1.8,0.4152212011251684,-1.20146794494262,0.557693879556455,-0.4190663492414499,0.5521739861929658,1.150330489030198,-1.236068573483588,1.233285949350151,0.552144046168071,1.223459748565181,0.5340434771174775,1.218870613054314
1.95,0.248695765266566,-1.035276743821884,0.6330421950260389,-0.2540554216632769,0.6253481528513002,1.314790192860226,-0.9842705712977751,0.982596732259654,0.4525001600930464,0.9766859524771239,0.4416120783269806,0.9739254380127328
2.1,0.1293824548178037,-0.9160897709056168,0.6897072818565556,-0.1353145808516147,0.6811914322364164,1.433322676369958,-0.6065735680190545,0.6065629066239072,0.3030343309805091,0.6065252583450377,0.3029649801412349,0.6065076754503601
2.25,0.06672369486084961,-0.8533078718347118,0.7239524943201917,-0.0720978441597655,0.7162376468936708,1.496742495495334,-0.2288765647403346,0.2305290809881611,0.1535685018679721,0.236364564212952,0.1643178819554894,0.239089912887988
2.4,0.04183463523176756,-0.8281293553273814,0.7432511238725741,-0.04589717688112493,0.7374191517323505,1.523420538364473,-0.1029775636474277,0.1051844724429121,0.1037465588304597,0.1129776661689232,0.1181021825602408,0.1166173253671969
2.55,0.0263880006846533,-0.8123516844609446,0.7588131076971431,-0.02895052695578637,0.7551344791163866,1.540913137169553,-0.1029775636474277,0.1051844724429121,0.1037465588304597,0.1129776661689232,0.1181021825602408,0.1166173253671969
2.7,0.01287219545592833,-0.7985462224528124,0.7724298435436409,-0.01412220827111521,0.7706353905774183,1.556219161123997,-0.0772331727355709,0.07888835433218416,0.07780991912284485,0.08473324962669256,0.0885766369201807,0.08746299402539781
2.85,0.004183463523176556,-0.7896712825904417,0.7811834594449609,-0.004589717688112227,0.7806002622309386,1.566058747951855,-0.03861658636778542,0.03944417716609208,0.03890495956142237,0.04236662481334627,0.04428831846009029,0.04373149701269886
3,0.001287219545592633,-0.7867129693029848,0.7841013314120676,-0.001412220827111232,0.7839218861154453,1.569338610227807,-6.938893903907228e-17,1.110223024625157e-16,0,1.110223024625157e-16,1.387778780781446e-17,4.163336342344337e-17
