time,pos_1,pos_2,pos_3,pos_4,pos_5,pos_6,vel_1,vel_2,vel_3,vel_4,vel_5,vel_6
0.0,-0.7853981633974483,-1.9418533257688912,1.9561650256352445,4.7006952743963275,-1.568527398767304,1.6741198185129609,0.0,0.0,0.0,0.0,0.0,0.0
1.1111111111111112,-0.6935240310519574,-1.9418533257688912,1.9561650256352445,4.7006952743963275,-1.568527398767304,1.6741198185129609,0.15860148553819942,0.0,0.0,0.0,0.0,0.0
2.2222222222222223,-0.4608905616071846,-1.9418533257688912,1.9561650256352445,4.7006952743963275,-1.568527398767304,1.6741198185129609,0.24299157333390525,0.0,0.0,0.0,0.0,0.0
3.3333333333333335,-0.19634954084936196,-1.9418533257688912,1.9561650256352445,4.7006952743963275,-1.568527398767304,1.6741198185129609,0.21368320341615207,0.0,0.0,0.0,0.0,0.0
4.444444444444445,-0.023682652437030494,-1.9418533257688912,1.9561650256352445,4.7006952743963275,-1.568527398767304,1.6741198185129609,0.08439008779570586,0.0,0.0,0.0,0.0,0.0
5.555555555555555,-0.023682652437030494,-1.9418533257688912,1.9561650256352445,4.7006952743963275,-1.568527398767304,1.6741198185129609,-0.0843900877957057,0.0,0.0,0.0,0.0,0.0
6.666666666666667,-0.1963495408493623,-1.9418533257688912,1.9561650256352445,4.7006952743963275,-1.568527398767304,1.6741198185129609,-0.21368320341615216,0.0,0.0,0.0,0.0,0.0
7.777777777777779,-0.46089056160718445,-1.9418533257688912,1.9561650256352445,4.7006952743963275,-1.568527398767304,1.6741198185129609,-0.24299157333390528,0.0,0.0,0.0,0.0,0.0
8.88888888888889,-0.6935240310519573,-1.9418533257688912,1.9561650256352445,4.7006952743963275,-1.568527398767304,1.6741198185129609,-0.1586014855381995,0.0,0.0,0.0,0.0,0.0
10.0,-0.7853981633974483,-1.9418533257688912,1.9561650256352445,4.7006952743963275,-1.568527398767304,1.6741198185129609,-6.043389719322356e-17,0.0,0.0,0.0,0.0,0.0
